t_s,x_m,p_analytic_Pa,p_numeric_Pa
0.0,0.0,25000000.0,30000000.0
0.0,2.5,30000000.0,30000000.0
0.0,5.0,30000000.0,30000000.0
0.0,7.5,30000000.0,30000000.0
0.0,10.0,30000000.0,30000000.0
0.0,12.5,30000000.0,30000000.0
0.0,15.0,30000000.0,30000000.0
0.0,17.5,30000000.0,30000000.0
0.0,20.0,30000000.0,30000000.0
0.0,22.5,30000000.0,30000000.0
0.0,25.0,30000000.0,30000000.0
0.0,27.5,30000000.0,30000000.0
0.0,30.0,30000000.0,30000000.0
0.0,32.5,30000000.0,30000000.0
0.0,35.0,30000000.0,30000000.0
0.0,37.5,30000000.0,30000000.0
0.0,40.0,30000000.0,30000000.0
0.0,42.5,30000000.0,30000000.0
0.0,45.0,30000000.0,30000000.0
0.0,47.5,30000000.0,30000000.0
0.0,50.0,30000000.0,30000000.0
0.0,52.5,30000000.0,30000000.0
0.0,55.0,30000000.0,30000000.0
0.0,57.5,30000000.0,30000000.0
0.0,60.0,30000000.0,30000000.0
0.0,62.5,30000000.0,30000000.0
0.0,65.0,30000000.0,30000000.0
0.0,67.5,30000000.0,30000000.0
0.0,70.0,30000000.0,30000000.0
0.0,72.5,30000000.0,30000000.0
0.0,75.0,30000000.0,30000000.0
0.0,77.5,30000000.0,30000000.0
0.0,80.0,30000000.0,30000000.0
0.0,82.5,30000000.0,30000000.0
0.0,85.0,30000000.0,30000000.0
0.0,87.5,30000000.0,30000000.0
0.0,90.0,30000000.0,30000000.0
0.0,92.5,30000000.0,30000000.0
0.0,95.0,30000000.0,30000000.0
0.0,97.5,30000000.0,30000000.0
0.0,100.0,30000000.0,30000000.0
0.0,102.5,30000000.0,30000000.0
0.0,105.0,30000000.0,30000000.0
0.0,107.5,30000000.0,30000000.0
0.0,110.0,30000000.0,30000000.0
0.0,112.5,30000000.0,30000000.0
0.0,115.0,30000000.0,30000000.0
0.0,117.5,30000000.0,30000000.0
0.0,120.0,30000000.0,30000000.0
0.0,122.5,30000000.0,30000000.0
0.0,125.0,30000000.0,30000000.0
0.0,127.5,30000000.0,30000000.0
0.0,130.0,30000000.0,30000000.0
0.0,132.5,30000000.0,30000000.0
0.0,135.0,30000000.0,30000000.0
0.0,137.5,30000000.0,30000000.0
0.0,140.0,30000000.0,30000000.0
0.0,142.5,30000000.0,30000000.0
0.0,145.0,30000000.0,30000000.0
0.0,147.5,30000000.0,30000000.0
0.0,150.0,30000000.0,30000000.0
0.0,152.5,30000000.0,30000000.0
0.0,155.0,30000000.0,30000000.0
0.0,157.5,30000000.0,30000000.0
0.0,160.0,30000000.0,30000000.0
0.0,162.5,30000000.0,30000000.0
0.0,165.0,30000000.0,30000000.0
0.0,167.5,30000000.0,30000000.0
0.0,170.0,30000000.0,30000000.0
0.0,172.5,30000000.0,30000000.0
0.0,175.0,30000000.0,30000000.0
0.0,177.5,30000000.0,30000000.0
0.0,180.0,30000000.0,30000000.0
0.0,182.5,30000000.0,30000000.0
0.0,185.0,30000000.0,30000000.0
0.0,187.5,30000000.0,30000000.0
0.0,190.0,30000000.0,30000000.0
0.0,192.5,30000000.0,30000000.0
0.0,195.0,30000000.0,30000000.0
0.0,197.5,30000000.0,30000000.0
0.0,200.0,30000000.0,30000000.0
0.0,202.5,30000000.0,30000000.0
0.0,205.0,30000000.0,30000000.0
0.0,207.5,30000000.0,30000000.0
0.0,210.0,30000000.0,30000000.0
0.0,212.5,30000000.0,30000000.0
0.0,215.0,30000000.0,30000000.0
0.0,217.5,30000000.0,30000000.0
0.0,220.0,30000000.0,30000000.0
0.0,222.5,30000000.0,30000000.0
0.0,225.0,30000000.0,30000000.0
0.0,227.5,30000000.0,30000000.0
0.0,230.0,30000000.0,30000000.0
0.0,232.5,30000000.0,30000000.0
0.0,235.0,30000000.0,30000000.0
0.0,237.5,30000000.0,30000000.0
0.0,240.0,30000000.0,30000000.0
0.0,242.5,30000000.0,30000000.0
0.0,245.0,30000000.0,30000000.0
0.0,247.5,30000000.0,30000000.0
